epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.706,1.78536,2.20961,1.66284,0.37442,0.3234,0.27884,0.10555,2.09212,2.44538,1.97853,0.000553219,0.000553219,0.000553219
2,274.834,1.82537,1.87839,1.69202,0.4906,0.35333,0.37335,0.16867,1.91968,1.80617,1.83075,0.00108693,0.00108693,0.00108693
3,409.703,1.77623,1.78605,1.66892,0.47799,0.42909,0.39257,0.17714,1.91454,1.96865,1.84757,0.00159864,0.00159864,0.00159864
4,545.336,1.75651,1.71679,1.64113,0.55614,0.4119,0.42326,0.19426,1.86054,2.32731,1.76552,0.00156798,0.00156798,0.00156798
5,680.93,1.70763,1.66194,1.61991,0.64301,0.51218,0.54652,0.26554,1.74797,1.60968,1.67074,0.00153497,0.00153497,0.00153497
6,816.387,1.65099,1.53317,1.55765,0.63627,0.52303,0.55697,0.27724,1.75735,1.4878,1.68012,0.00150197,0.00150197,0.00150197
7,951.529,1.62365,1.47877,1.54801,0.64915,0.50687,0.54626,0.28779,1.68729,1.44703,1.63479,0.00146896,0.00146896,0.00146896
8,1086.31,1.57908,1.43011,1.52308,0.6201,0.58622,0.58675,0.30813,1.63992,1.39457,1.60981,0.00143595,0.00143595,0.00143595
9,1220.59,1.57047,1.38504,1.51874,0.69537,0.55122,0.59989,0.32436,1.62749,1.32455,1.57984,0.00140295,0.00140295,0.00140295
10,1355.21,1.54345,1.35578,1.49014,0.66515,0.56301,0.59176,0.30253,1.60179,1.39503,1.57383,0.00136994,0.00136994,0.00136994
11,1490.18,1.525,1.31801,1.47293,0.73372,0.59512,0.64094,0.35017,1.5677,1.23847,1.55313,0.00133693,0.00133693,0.00133693
12,1624.83,1.49185,1.28163,1.45129,0.68523,0.62861,0.66021,0.36142,1.51381,1.21336,1.51949,0.00130393,0.00130393,0.00130393
13,1759.27,1.4957,1.27209,1.46543,0.72344,0.61531,0.64161,0.36042,1.53753,1.18013,1.54103,0.00127092,0.00127092,0.00127092
14,1893.9,1.46886,1.22205,1.44631,0.72871,0.60677,0.66482,0.37273,1.5163,1.17382,1.51496,0.00123791,0.00123791,0.00123791
15,2028.44,1.44911,1.19525,1.42211,0.74815,0.60262,0.66102,0.36498,1.52138,1.15423,1.51778,0.00120491,0.00120491,0.00120491
16,2163.02,1.44455,1.18379,1.42422,0.7417,0.6218,0.67294,0.38079,1.48948,1.1399,1.49694,0.0011719,0.0011719,0.0011719
17,2298.09,1.41947,1.16858,1.40958,0.73607,0.6429,0.676,0.37857,1.48872,1.08618,1.49169,0.00113889,0.00113889,0.00113889
18,2432.8,1.41398,1.13845,1.39772,0.773,0.59542,0.67614,0.38304,1.47675,1.12428,1.48532,0.00110589,0.00110589,0.00110589
19,2567.64,1.4053,1.13801,1.40329,0.71411,0.63962,0.68482,0.38255,1.4909,1.05518,1.48911,0.00107288,0.00107288,0.00107288
20,2702.4,1.39868,1.11696,1.39046,0.72916,0.6675,0.69813,0.39792,1.45809,1.0484,1.46741,0.00103987,0.00103987,0.00103987
21,2837.46,1.37682,1.09582,1.37574,0.76777,0.66303,0.71228,0.4143,1.45548,1.01622,1.46516,0.00100687,0.00100687,0.00100687
22,2972.95,1.37592,1.07179,1.36803,0.77658,0.64074,0.70528,0.41037,1.46728,1.04429,1.47229,0.000973861,0.000973861,0.000973861
23,3107.9,1.34712,1.0466,1.36193,0.75737,0.65085,0.70685,0.4145,1.43181,1.02743,1.45851,0.000940855,0.000940855,0.000940855
24,3242.84,1.35013,1.04762,1.36337,0.78787,0.65225,0.70836,0.41315,1.42188,0.98384,1.44622,0.000907848,0.000907848,0.000907848
25,3377.68,1.32866,1.00938,1.35147,0.78443,0.64804,0.71223,0.41939,1.40971,0.98213,1.43909,0.000874842,0.000874842,0.000874842
